filename,topic_primary,topic_secondary,topic_tertiary,tone_primary,tone_secondary,narrator_primary,narrator_secondary,confidence_0_to_1,topic_evidence,tone_evidence,narrator_evidence,notes
video12_llm.txt,relationships,hobbies,coping_strategies,hopeful,comforting,similar_experiences,carer,0.84,"""That was our thing, was football."" / ""keep talking to him, hold his hand""","""most magical moment"" / ""know that I love you lots""","""being with my grandad"" / ""I needed to be there for him""","Grandson perspective; carer is secondary because he offers support rather than full-time care."
video13_llm.txt,living_with_dementia,loss,diagnosis,realistic,sad,carer,similar_experiences,0.88,"""It took quite a long time to get a diagnosis"" / ""I miss the companionship""","""I'm just frustrated"" / ""I'm not going to give in""","""We've been married for about 48 years""","Joint spouse/person-with-dementia account; narrator label chosen as carer with similar experiences secondary."
video14_llm.txt,resources,diagnosis,coping_strategies,hopeful,educational,carer,similar_experiences,0.9,"""very first Dementia Cafe"" / ""Diagnosed as vascular dementia""","""This changed our lives completely."" / ""get information and support""","""for somebody caring with somebody with dementia""","Strong focus on dementia cafés as practical support after diagnosis."
video15_llm.txt,campaigns,resources,health_and_social_care,upbeat,educational,any_narrator,carer,0.82,"""volunteering for the Alzheimer's Society"" / ""make Oswestry dementia friendly""","""absolute star"" / ""make a difference""","""My mum died of Alzheimer's""","Volunteer/community support narrative; narrator is not primarily a carer, though a carer testimony appears."
video16_llm.txt,resources,diagnosis,coping_strategies,comforting,realistic,carer,,0.88,"""Alzheimer's Society website"" / ""talking point forum""","""Their reply gave me comfort."" / ""devastating""","""How I treat Paul, how I talk to Paul""","Carer describes diagnosis impact and practical peer support."
video17_llm.txt,diagnosis,resources,worries,realistic,hopeful,similar_experiences,,0.91,"""I was 51"" / ""frontotemporal dementia""","""I felt scared, I felt sad"" / ""just makes it easier""","""When I got my diagnosis""","First-person account from person diagnosed with young-onset dementia."
video18_llm.txt,loss,relationships,resources,sad,comforting,carer,,0.93,"""I can't hold her hand"" / ""companion call""","""absolutely heartbroken"" / ""That was my lifeline.""","""I nursed Jean at home.""","Spouse-carer narrative focused on lockdown separation and support calls."
video19_llm.txt,routines,hobbies,coping_strategies,realistic,hopeful,carer,,0.89,"""that's her morning life"" / ""she loves singing""","""very, very frustrating"" / ""Everything I do is based around what she would like""","""I've done everything that I think will help her""","Spouse-carer adapts routines and activities around Helen’s enjoyment."
video20_llm.txt,living_with_dementia,frustrations,coping_strategies,conversational,funny,carer,similar_experiences,0.87,"""trying to keep her active"" / ""she was getting frustrated""","""we have a laugh"" / ""Just live day-to-day""","""I'm there for her full time"" / ""I've got it""","Joint couple narrative; carer and person with dementia both speak."
video21_llm.txt,loss,daily_challenges,the_future,realistic,sad,carer,similar_experiences,0.86,"""not having my wife"" / ""no planning for the future""","""Dementia is cruel."" / ""Heartbreaking.""","""Unless you care for someone with it"" / ""I don't suffer with dementia""","Composite transcript with multiple voices; labels kept broad."
video22_llm.txt,campaigns,family,loss,educational,hopeful,any_narrator,carer,0.84,"""raise awareness"" / ""You're losing part of something""","""We need to come together"" / ""help for people with dementia now""","""my dad's got vascular dementia"" / ""my mum was diagnosed""","Composite campaign appeal using cricket and family dementia stories."
video23_llm.txt,diagnosis,planning,rights,educational,realistic,any_narrator,similar_experiences,0.82,"""If the diagnosis had come sooner"" / ""You have a right to know""","""It's not called getting old. It's called getting ill."" / ""Reality is reality.""","""I didn't want it to define me""","Composite early-diagnosis message; speakers include carers and people with dementia."
video24_llm.txt,resources,diagnosis,the_future,sad,comforting,carer,,0.88,"""contacted Alzheimer's Society"" / ""what the future was""","""while I cried and talked"" / ""I wasn't on my own""","""caring of someone with Alzheimer's""","Daughter-carer account focused on diagnosis shock and support reassurance."
video25_llm.txt,diagnosis,healthcare_interactions,public_perceptions,educational,realistic,similar_experiences,,0.8,"""I need help"" / ""go for a diagnosis""","""There is no harm going to clinic"" / ""Reality is reality.""","""something's wrong with me""","Short first-person diagnosis encouragement; partial non-English content limits confidence."
video26_llm.txt,diagnosis,policies_and_rights,family,realistic,sad,carer,,0.91,"""waiting to get a diagnosis"" / ""power of attorney""","""awful really"" / ""Don't hide it away""","""my mum's called Theresa""","Daughter-carer narrative about delayed diagnosis and legal/planning difficulties."
video27_llm.txt,coping_strategies,relationships,living_with_dementia,comforting,hopeful,carer,,0.9,"""new life together"" / ""feelings mean so much""","""my privilege to help Joe"" / ""I love you""","""It's my privilege to help Joe""","Spouse-carer emphasizes adaptation, love, and emotional connection after diagnosis."
video28_llm.txt,diagnosis,symptoms_leading_to_diagnosis,coping_strategies,hopeful,educational,similar_experiences,,0.91,"""diagnosis of vascular dementia"" / ""stumbling with my words""","""I wanted to carry on living"" / ""There is help out there""","""I received a diagnosis""","First-person account from person with vascular dementia encouraging diagnosis and support."
video29_llm.txt,resources,loss,relationships,sad,comforting,carer,,0.86,"""ring up the Alzheimer's Society"" / ""I can't reach him""","""Very lonely for me"" / ""It helps so much""","""let him know I am here""","Short carer account of loneliness and support through Alzheimer’s Society."
video30_llm.txt,memories,similar_background_or_culture,resources,realistic,educational,carer,similar_background_or_culture,0.88,"""it's a great memory booster"" / ""appropriateness of the care""","""This is hard, this is difficult"" / ""having those things in place""","""if you're a carer"" / ""born and grew up in... Trinidad""","Carer discusses culturally relevant memory triggers and care support."
video31_llm.txt,hobbies,coping_strategies,memories,upbeat,comforting,similar_experiences,,0.84,"""I can still make a tune"" / ""point of connection music""","""it's joyous"" / ""rediscovering the joy""","""I first got poorly""","Music-focused narrative from someone with dementia, with secondary family reflection."
video32_llm.txt,living_with_dementia,stigma,coping_strategies,upbeat,realistic,similar_experiences,,0.89,"""with my Alzheimer's"" / ""fear or stigma""","""You can still have fun"" / ""It was very difficult""","""when you've got Alzheimer's disease""","First-person dementia account focused on cooking, stigma, retirement, and staying active."
video33_llm.txt,living_with_dementia,daily_challenges,resources,realistic,hopeful,similar_experiences,,0.9,"""I have dementia"" / ""contact Dementia Connect""","""I get so annoyed with myself"" / ""Gosh, it's good to be alive""","""I have dementia, Alzheimer's disease""","First-person account of Alzheimer’s, practical coping, and support."
video34_llm.txt,family,daily_challenges,worries,sad,realistic,carer,,0.88,"""I've literally grown up with it"" / ""I know it's gonna get worse""","""You just feel useless"" / ""take it out of the day as it comes""","""I do my best to care for her""","Daughter-carer perspective on young-onset dementia and family impact."
video35_llm.txt,relationships,roles,loss,sad,conversational,carer,,0.84,"""from having a relationship as partners"" / ""now I feel very much that I'm his carer""","""It's very hard"" / ""big change of life""","""I'm Adrienne's partner""","Partner-carer account of role change and loss."
video36_llm.txt,loss,interactions,health_and_social_care,sad,realistic,carer,,0.86,"""It wasn't like my mum"" / ""see her through the glass""","""she's just given up"" / ""looked at me...vacantly""","""my mum is stone deaf""","Daughter describes care-home separation and loss of connection during pandemic restrictions."
video37_llm.txt,relationships,similar_background_or_culture,frustrations,conversational,funny,carer,similar_background_or_culture,0.87,"""I'm from Jamaica"" / ""very, very frustrating""","""we have to have a sense of humour"" / ""what you laughing about?""","""my mum's mood changed"" / ""I'm from Jamaica""","Family narrative with person affected and relatives; strong cultural identity and humour."
video38_llm.txt,resources,diagnosis,hobbies,hopeful,comforting,carer,similar_experiences,0.89,"""firm diagnosis of vascular dementia"" / ""The Alzheimer's Society has been a terrific help""","""we have a bit of a laugh"" / ""very relaxing for me here""","""I had a good partner"" / ""Peter loved singing""","Partner and person with dementia describe diagnosis and support groups."
video39_llm.txt,relationships,resources,friends,upbeat,light,carer,similar_experiences,0.84,"""became good friends"" / ""the support that they give my mum""","""amazing sense of humour"" / ""live her life and be out there""","""the most amazing mum"" / ""being a friend""","Family/friend perspective with person affected also speaking."
video40_llm.txt,routines,resources,worries,realistic,conversational,carer,similar_experiences,0.86,"""support you can live"" / ""daycare centre""","""I like it here"" / ""what worries me""","""I normally wash her"" / ""come here three times in a day""","Focuses on independent living with practical support."
video41_llm.txt,family,daily_challenges,worries,sad,realistic,carer,,0.9,"""I've literally grown up with it"" / ""I know this is going to get worse""","""you just feel useless"" / ""take every day as it comes""","""I do my best to care for her""","Near-duplicate of video34; daughter-carer perspective."
video42_llm.txt,resources,living_with_dementia,coping_strategies,hopeful,educational,similar_experiences,,0.92,"""Alzheimer's Society"" / ""safe haven for us""","""It's not all doom and gloom"" / ""really good quality of life""","""diagnosed with vascular dementia""","First-person dementia account about support, groups, and quality of life."
video43_llm.txt,relationships,coping_strategies,family,upbeat,funny,similar_age,similar_experiences,0.87,"""I wanted to learn about dementia"" / ""building up his confidence""","""you laugh about things"" / ""really makes me happy""","""Jennifer is my granddaughter"" / ""Grandad needs""","Granddaughter and grandfather jointly describe support and connection."
video44_llm.txt,coping_strategies,living_with_dementia,planning,educational,hopeful,similar_experiences,,0.93,"""adapting your life"" / ""monthly diary, a weekly diary""","""make the most of life"" / ""focus on the here and now""","""I was diagnosed""","First-person practical account of adapting to early-onset Alzheimer’s."
video45_llm.txt,daily_challenges,health_and_social_care,policies,sad,realistic,carer,,0.91,"""there was no help"" / ""government were not worried""","""very tired and very depressed"" / ""put me under a lot of stress""","""I'm married to Susan Weldon"" / ""I could shower her""","Spouse-carer account focused on unpaid care burden and failed support during lockdown."
video46_llm.txt,overcoming,resources,campaigns,hopeful,educational,similar_experiences,,0.9,"""That lady saved my life"" / ""help as many people as I can""","""there is life"" / ""I'm a lucky man""","""this is my story with dementia""","First-person dementia narrative moving from despair to peer support and advocacy."
video47_llm.txt,campaigns,the_future,diagnosis,formal,hopeful,similar_experiences,,0.84,"""make an amendment to my will"" / ""help future generations""","""future generations are going to benefit"" / ""we need to start somewhere""","""it is dementia""","Legacy-giving appeal from someone diagnosed with dementia."
video48_llm.txt,health_and_social_care,campaigns,policies,sad,realistic,carer,,0.92,"""stuck in hospital"" / ""join the campaign""","""I'm desperate"" / ""being let down""","""Both my parents have dementia""","Daughter-carer account focused on hospital discharge, care-home access, and social care funding."
video49_llm.txt,family,coping_strategies,hobbies,upbeat,conversational,similar_experiences,carer,0.84,"""Very close family"" / ""played golf with all my mates""","""so positive with that diagnosis"" / ""He just loves life""","""that diagnosis"" / ""as long as Dad feels like that""","Family and person with dementia speak; emphasis on positivity and continuing life."
video50_llm.txt,campaigns,health_and_social_care,living_with_dementia,educational,hopeful,similar_experiences,,0.88,"""Be involved"" / ""We need research""","""making a contribution"" / ""lead better lives""","""we can live with Alzheimer's""","First-person Alzheimer’s account focused on involvement, research, and advocacy."
video51_llm.txt,campaigns,public_perceptions,stigma,formal,educational,any_narrator,,0.86,"""Share your stories"" / ""forgotten crisis""","""unless we start talking about it properly"" / ""It will take a society""","""our stories heard""","Short public campaign message, not tied to a specific personal narrator."
